	SNP	Disease	Group	REGION	CHR_ID	CHR_POS	PleioType
0	rs2395029	Psoriasis	immune system disease	6p21.33	6	31464003.0	Agonistic
1	rs2030519	Allergic rhinitis	immune system disease	3q28	3	188402113.0	Antagonistic
2	rs2155219	Allergic rhinitis	immune system disease	11q13.5	11	76588150.0	Agonistic
3	rs2519093	Allergic rhinitis	immune system disease				Agonistic
4	rs1018326	Ankylosing spondylitis	immune system disease	2q31.3	2	181143073.0	Agonistic
5	rs10865331	Ankylosing spondylitis	immune system disease	2p15	2	62324337.0	Agonistic
6	rs11209026	Ankylosing spondylitis	immune system disease	1p31.3	1	67240275.0	Agonistic
7	rs1250550	Ankylosing spondylitis	immune system disease	10q22.3	10	79300560.0	Antagonistic
8	rs1801274	Ankylosing spondylitis	immune system disease	1q23.3	1	161509955.0	Antagonistic
9	rs2310173	Ankylosing spondylitis	immune system disease	2q11.2	2	102047167.0	Agonistic
10	rs2836883	Ankylosing spondylitis	immune system disease	21q22.2	21	39094818.0	Agonistic
11	rs2910686	Ankylosing spondylitis	immune system disease	5q15	5	96916885.0	Agonistic
12	rs4129267	Ankylosing spondylitis	immune system disease	1q21.3	1	154453788.0	Antagonistic
13	rs6871626	Ankylosing spondylitis	immune system disease	5q33.3	5	159399784.0	Agonistic
14	rs7282490	Ankylosing spondylitis	immune system disease	21q22.3	21	44195858.0	Agonistic
15	rs7954567	Ankylosing spondylitis	immune system disease	12p13.31	12	6381959.0	Agonistic
16	rs1295686	Atopic dermatitis	immune system disease	5q31.1	5	132660151.0	Agonistic
17	rs1701704	Type 1 diabetes	immune system disease	12q13.2	12	56018703.0	Antagonistic
18	rs2305480	Ulcerative colitis	immune system disease	17q21.1	17	39905943.0	Antagonistic
19	rs13015714	Atopic dermatitis	immune system disease	2q12.1	2	102355405.0	Agonistic
20	rs2228145	Atopic dermatitis	immune system disease	1q21.3	1	154454494.0	Antagonistic
21	rs4821544	Atopic dermatitis	immune system disease	22q12.3	22	36862461.0	Agonistic
22	rs6010620	Atopic dermatitis	immune system disease	20q13.33	20	63678486.0	Agonistic
23	rs7927894	Atopic dermatitis	immune system disease	11q13.5	11	76590272.0	Agonistic
24	rs1126809	Vitiligo	immune system disease	11q14.3	11	89284793.0	Antagonistic
25	rs12203592	Vitiligo	immune system disease	6p25.3	6	396321.0	Antagonistic
26	rs6059655	Vitiligo	immune system disease	20q11.22	20	34077942.0	Antagonistic
27	rs907611	Ulcerative colitis	immune system disease	11p15.5	11	1852842.0	Agonistic
28	rs13003464	Ulcerative colitis	immune system disease	2p16.1	2	60959694.0	Agonistic
29	rs1464510	Vitiligo	immune system disease	3q28	3	188394766.0	Antagonistic
30	rs1893217	Type 1 diabetes	immune system disease	18p11.21	18	12809341.0	Agonistic
31	rs2187668	Systemic lupus erythematosus	immune system disease	6p21.32	6	32638107.0	Agonistic
32	rs2327832	Systemic lupus erythematosus	immune system disease	6q23.3	6	137651931.0	Agonistic
33	rs3184504	Type 1 diabetes	immune system disease	12q24.12	12	111446804.0	Antagonistic
34	rs653178	Systemic lupus erythematosus	immune system disease	12q24.12	12	111569952.0	Agonistic
35	rs10028805	Systemic lupus erythematosus	immune system disease	4q24	4	101816093.0	Agonistic
36	rs10774625	Systemic lupus erythematosus	immune system disease	12q24.12	12	111472415.0	Agonistic
37	rs10185424	Ulcerative colitis	immune system disease	2q11.2	2	102046427.0	Agonistic
38	rs10758669	Ulcerative colitis	immune system disease	9p24.1	9	4981602.0	Agonistic
39	rs10761659	Ulcerative colitis	immune system disease	10q21.2	10	62685804.0	Antagonistic
40	rs10781499	Ulcerative colitis	immune system disease	9q34.3	9	136371953.0	Agonistic
41	rs11190140	Ulcerative colitis	immune system disease	10q24.2	10	99531836.0	Agonistic
42	rs11229555	Ulcerative colitis	immune system disease	11q12.1	11	58641214.0	Antagonistic
43	rs11230563	Ulcerative colitis	immune system disease	11q12.2	11	61008737.0	Antagonistic
